City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ulladulla,-35.35,150.47,46.99,93,0,3.36,AU,2020-08-27 19:53:11
1,Tuktoyaktuk,69.45,-133.04,42.8,75,90,12.75,CA,2020-08-27 19:53:11
2,Kapaa,22.08,-159.32,82.99,69,20,12.75,US,2020-08-27 19:53:11
3,Iqaluit,63.75,-68.51,59.0,41,75,11.41,CA,2020-08-27 19:51:51
4,Tortoli,39.93,9.66,80.6,94,0,6.93,IT,2020-08-27 19:53:12
5,Honiara,-9.43,159.95,75.2,94,75,4.7,SB,2020-08-27 19:52:53
6,Serafimovich,49.58,42.74,64.0,55,100,8.05,RU,2020-08-27 19:53:12
7,Yellowknife,62.46,-114.35,60.8,72,75,11.41,CA,2020-08-27 19:50:51
8,Nikolskoye,59.7,30.79,55.4,87,90,4.47,RU,2020-08-27 19:53:12
9,Rikitea,-23.12,-134.97,67.93,61,0,1.39,PF,2020-08-27 19:53:12
10,Ushuaia,-54.8,-68.3,37.4,59,75,13.87,AR,2020-08-27 19:50:19
11,Fairbanks,64.84,-147.72,57.2,71,75,3.78,US,2020-08-27 19:52:06
12,Puerto Ayora,-0.74,-90.35,75.2,60,87,20.8,EC,2020-08-27 19:53:13
13,Carnarvon,-24.87,113.63,66.2,100,89,5.82,AU,2020-08-27 19:53:13
14,Jamestown,42.1,-79.24,82.4,65,1,20.8,US,2020-08-27 19:53:13
15,Cherskiy,68.75,161.3,40.66,95,100,2.08,RU,2020-08-27 19:53:13
16,Atuona,-9.8,-139.03,78.71,75,33,21.41,PF,2020-08-27 19:53:13
17,Tucurui,-3.77,-49.67,93.52,40,58,2.51,BR,2020-08-27 19:53:13
18,San Cristobal,7.77,-72.22,91.4,49,40,13.87,VE,2020-08-27 19:53:14
19,Kaitangata,-46.28,169.85,37.99,89,68,5.26,NZ,2020-08-27 19:53:14
20,Vaini,-21.2,-175.2,68.0,94,40,3.36,TO,2020-08-27 19:53:14
21,Nanortalik,60.14,-45.24,48.49,72,100,13.82,GL,2020-08-27 19:53:14
22,Avarua,-21.21,-159.78,75.2,64,53,3.36,CK,2020-08-27 19:53:14
